Longitude,Latitude,Accuracy,Altitude,Time,Easting,Northing
023.7791094,37.9757675,01.8800000,0228.0,2023-02-15T11:36:48.315000,480450.35,4202861.46
023.7791033,37.9757745,01.7330000,0228.0,2023-02-15T11:36:49.316000,480449.81,4202862.24
023.7790965,37.9757817,01.6800000,0228.0,2023-02-15T11:36:50.316000,480449.22,4202863.04
023.7790881,37.9757891,01.6800000,0228.0,2023-02-15T11:36:51.319000,480448.48,4202863.87
023.7790811,37.9757956,02.0500000,0229.0,2023-02-15T11:36:52.310000,480447.87,4202864.59
023.7790745,37.9758021,01.6500000,0228.0,2023-02-15T11:36:53.313000,480447.29,4202865.31
023.7790656,37.9758091,01.7330000,0228.0,2023-02-15T11:36:54.314000,480446.51,4202866.09
023.7790616,37.9758190,01.8160000,0228.0,2023-02-15T11:36:55.309000,480446.16,4202867.19
023.7790637,37.9758276,01.8160000,0228.0,2023-02-15T11:36:56.309000,480446.35,4202868.14
023.7790694,37.9758344,01.4000000,0228.0,2023-02-15T11:36:57.317000,480446.85,4202868.90
023.7790715,37.9758402,01.4000000,0228.0,2023-02-15T11:36:58.316000,480447.04,4202869.54
023.7790726,37.9758473,01.4000000,0227.0,2023-02-15T11:36:59.315000,480447.14,4202870.33
023.7790736,37.9758560,01.4000000,0227.0,2023-02-15T11:37:00.317000,480447.23,4202871.29
023.7790758,37.9758660,01.5000000,0226.0,2023-02-15T11:37:01.315000,480447.42,4202872.40
023.7790777,37.9758759,01.5000000,0226.0,2023-02-15T11:37:02.308000,480447.59,4202873.50
023.7790786,37.9758854,01.5000000,0226.0,2023-02-15T11:37:03.314000,480447.67,4202874.55
023.7790816,37.9758937,01.5000000,0226.0,2023-02-15T11:37:04.317000,480447.94,4202875.47
023.7790859,37.9759002,01.5000000,0226.0,2023-02-15T11:37:05.318000,480448.32,4202876.19
023.7790915,37.9759067,01.5000000,0225.0,2023-02-15T11:37:06.309000,480448.81,4202876.91
023.7790974,37.9759136,01.9800000,0225.0,2023-02-15T11:37:07.315000,480449.33,4202877.68
023.7791032,37.9759197,01.9000000,0225.0,2023-02-15T11:37:08.312000,480449.84,4202878.35
023.7791098,37.9759261,01.9800000,0225.0,2023-02-15T11:37:09.318000,480450.42,4202879.06
023.7791153,37.9759343,01.9800000,0225.0,2023-02-15T11:37:10.319000,480450.91,4202879.97
023.7791209,37.9759423,01.9800000,0224.0,2023-02-15T11:37:11.315000,480451.40,4202880.86
023.7791279,37.9759506,01.9800000,0225.0,2023-02-15T11:37:12.322000,480452.02,4202881.78
023.7791342,37.9759582,01.9800000,0224.0,2023-02-15T11:37:13.321000,480452.58,4202882.62
